Name,Quantity
Simple Truth Organic™ Baby Spinach,
Chobani 14g Protein Non Fat Plain Greek Yogurt,
Jeni's Gooey Butter Cake Ice Cream Pint,
Barilla Spaghetti Pasta,
Spindrift Sparkling Water & Real Squeezed Lemon 8 Pack,
Shirakiku Extra Fancy Rice,
Private Selection® Parmesan Wedge Cheese,
Private Selection™ Petite Gold Gourmet Potatoes,
Spindrift Sparkling Water & Real Squeezed Raspberry Lime 8 Pack,
Boars Head Chipotle Chicken,
Organic Jar Nutmeg Ground, 1 each,
Kroger® Traditional Favorites Frozen Brussels Sprouts,
Swanson Chicken Stock,
Wright Brand Hickory Smoked Thick Cut Bacon,
Private Selection™ Petite Gold Gourmet Potatoes,
Kroger® Mexican Style Blend Shredded Cheese,
Reese's Milk Chocolate Peanut Butter Cups Candy,
Simple Truth Organic® Whole Bay Leaves,
Horizon Organic Heavy Whipping Cream,
Philadelphia 1/3 Less Fat Neufchatel Cheese,
Heritage Farm Boneless Skinless Chicken Thighs,
Horizon Organic Whole Dha Omega-3 Milk, Half Gallon,
Sargento® Swiss Sliced Cheese,
Kerrygold Pure Irish Butter Sticks,
Mission Taco Tortillas,
The Rustik Oven Pane Italiano Bread,
Dr Pepper Diet Soda 12 oz Cans,
Simple Truth Organic® Baby Arugula,
Napoleon Tomato Paste - 4.56 Oz,
Kerrygold Grass-Fed Unsalted Pure Irish Butter,
Simple Truth Organic Cage Free Grade AA Large Brown Eggs,
